element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,4,"=""""","=""16.7074""","=""""","=""4.20e+08""",C,"=""0.0""","=""598538.2""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.(2P*<3/2>).4d""","=""1P*""","=""1""",,"=""T5633""","=""""",
N,4,"=""""","=""16.7709""","=""""","=""1.02e+09""",C+,"=""0.0""","=""596270.9""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.8p""","=""1P*""","=""1""",,"=""T5633""","=""""",
N,5,"=""""","=""16.8514""","=""""","=""5.57e+08""",B,"=""80463.2""","=""673886.2""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""16.8587""","=""""","=""1.11e+09""",B,"=""80721.9""","=""673886.2""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,4,"=""""","=""17.0074""","=""""","=""1.00e+09""",C+,"=""0.0""","=""587979.4""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.7p""","=""1P*""","=""1""",,"=""T5633""","=""""",
N,4,"=""""","=""17.0189""","=""""","=""2.85e+08""",C,"=""67209.2""","=""654791.3""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2p.(2P*).6p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""17.0207""","=""""","=""2.13e+08""",C,"=""67272.3""","=""654791.3""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).6p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""17.0207""","=""""","=""2.13e+08""",C,"=""67272.3""","=""654791.3""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).6p""","=""3P""","=""2""",,"=""T5633LS""","=""""",
N,4,"=""""","=""17.0207""","=""""","=""8.54e+08""",C,"=""67272.3""","=""654791.3""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).6p""","=""3P""","=""0""",,"=""T5633LS""","=""""",
N,4,"=""""","=""17.0249""","=""""","=""3.55e+08""",C,"=""67416.3""","=""654791.3""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).6p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""17.0249""","=""""","=""6.40e+08""",C+,"=""67416.3""","=""654791.3""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).6p""","=""3P""","=""2""",,"=""T5633LS""","=""""",
N,4,"=""""","=""17.2171""","=""""","=""5.85e+06""",D,"=""0.0""","=""580817.5""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.(2P*<3/2>).4s""","=""1P*""","=""1""",,"=""T5600c20""","=""""",
N,6,"=""""","=""17.3275""","=""""","=""2.697e+10""",AA,"=""3439274""","=""4016390""","=""1s.2s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,"=""T5997""","=""""",
N,6,"=""""","=""17.3866""","=""""","=""4.869e+10""",AA,"=""3438304""","=""4013460""","=""1s.2p""","=""3P*""","=""0""","=""1s.3d""","=""3D""","=""1""",,"=""T5997LS""","=""""",
N,6,"=""""","=""17.3871""","=""""","=""6.573e+10""",AA,"=""3438320""","=""4013460""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",,"=""T5997LS""","=""""",
N,6,"=""""","=""17.3871""","=""""","=""3.652e+10""",AA,"=""3438320""","=""4013460""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",,"=""T5997LS""","=""""",
N,6,"=""""","=""17.3958""","=""""","=""2.431e+09""",AA,"=""3438610""","=""4013460""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",,"=""T5997LS""","=""""",
N,6,"=""""","=""17.3958""","=""""","=""8.751e+10""",AA,"=""3438610""","=""4013460""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",,"=""T5997LS""","=""""",
N,6,"=""""","=""17.3958""","=""""","=""2.188e+10""",AA,"=""3438610""","=""4013460""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",,"=""T5997LS""","=""""",
N,6,"=""""","=""17.4066""","=""""","=""2.709e+06""",AA,"=""3439274""","=""4013770""","=""1s.2s""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",E2,"=""T3908""","=""""",
N,4,"=""""","=""17.4602""","=""""","=""1.70e+09""",B,"=""0.0""","=""572731.1""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.6p""","=""1P*""","=""1""",,"=""T5633""","=""""",
N,6,"=""""","=""18.0650""","=""""","=""1.430e+09""",AA,"=""3438304""","=""3991860""","=""1s.2p""","=""3P*""","=""0""","=""1s.3s""","=""3S""","=""1""",,"=""T5997LS""","=""""",
