element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
O,6,,10.4862,,4.77e+08,B,96907.5,[1050543],1s2.2p,2P*,3/2,1s2.8s,2S,1/2,,T3127LS,
O,6,,10.6731,,3.78e+09,B+,96375.0,1033310,1s2.2p,2P*,1/2,1s2.7d,2D,3/2,,T5118LS,
O,6,,10.6789,,4.53e+09,B+,96907.5,1033334,1s2.2p,2P*,3/2,1s2.7d,2D,5/2,,T5118LS,
O,6,,10.6792,,7.54e+08,B+,96907.5,1033310,1s2.2p,2P*,3/2,1s2.7d,2D,3/2,,T5118LS,
O,6,,10.7020,,3.62e+08,B,96375.0,1030780,1s2.2p,2P*,1/2,1s2.7s,2S,1/2,,T3127LS,
O,6,,10.7081,,7.22e+08,B,96907.5,1030780,1s2.2p,2P*,3/2,1s2.7s,2S,1/2,,T3127LS,
O,6,,11.0157,,6.18e+09,A,96375.0,1004170,1s2.2p,2P*,1/2,1s2.6d,2D,3/2,,T5118LS,
O,6,,11.0220,,7.40e+09,A,96907.5,1004184,1s2.2p,2P*,3/2,1s2.6d,2D,5/2,,T5118LS,
O,6,,11.0222,,1.23e+09,A,96907.5,1004170,1s2.2p,2P*,3/2,1s2.6d,2D,3/2,,T5118LS,
O,6,,11.0656,,5.85e+08,B,96375.0,1000080,1s2.2p,2P*,1/2,1s2.6s,2S,1/2,,T3127LS,
O,6,,11.0721,,1.17e+09,B,96907.5,1000080,1s2.2p,2P*,3/2,1s2.6s,2S,1/2,,T3127LS,
O,5,,11.4358,,1.72e+09,C+,0.0,874447.0,1s2.2s2,1S,0,1s2.2s.8p,1P*,1,,T5633,
O,6,,11.5821,,1.23e+10,B+,0.0,863397.7,1s2.2s,2S,1/2,1s2.4p,2P*,3/2,,T5118LS,
O,6,,11.5830,,1.23e+10,B+,0.0,863333.8,1s2.2s,2S,1/2,1s2.4p,2P*,1/2,,T5118LS,
O,5,,11.6161,,2.28e+09,C+,0.0,860874.0,1s2.2s2,1S,0,1s2.2s.7p,1P*,1,,T5633,
O,6,,11.6350,,1.12e+10,A,96375.0,955851,1s2.2p,2P*,1/2,1s2.5d,2D,3/2,,T5118LS,
O,6,,11.6421,,1.35e+10,A,96907.5,955860,1s2.2p,2P*,3/2,1s2.5d,2D,5/2,,T5118LS,
O,6,,11.6422,,2.24e+09,A,96907.5,955851,1s2.2p,2P*,3/2,1s2.5d,2D,3/2,,T5118LS,
O,6,,11.7328,,1.07e+09,B,96375.0,948690,1s2.2p,2P*,1/2,1s2.5s,2S,1/2,,T5118LS,
O,6,,11.7401,,2.13e+09,B,96907.5,948690,1s2.2p,2P*,3/2,1s2.5s,2S,1/2,,T5118LS,
O,5,,11.8000,,9.04e+08,C,0.0,847460.0,1s2.2s2,1S,0,1s2.2p.(2P*<3/2>).4d,1P*,1,,T5633,
O,5,,11.9102,,4.64e+09,B,0.0,839616.0,1s2.2s2,1S,0,1s2.2s.6p,1P*,1,,T5633,
O,5,,12.2087,,9.03e+08,C+,82078.6,901165.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).5p,3P,2,,T5633LS,
O,5,,12.2088,,1.20e+09,C+,81942.5,901023.0,1s2.2s.2p,3P*,0,1s2.2p.(2P*<3/2>).5p,3P,1,,T5633LS,
O,5,,12.2108,,9.03e+08,C,82078.6,901023.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).5p,3P,1,,T5633LS,
O,5,,12.2133,,2.71e+09,B,82385.3,901165.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).5p,3P,2,,T5633LS,
O,5,,12.2133,,3.61e+09,C+,82078.6,900858.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).5p,3P,0,,T5633LS,
O,5,,12.2154,,1.50e+09,C+,82385.3,901023.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).5p,3P,1,,T5633LS,
O,5,12.4616,12.4616,80,7.15e+09,B,0.0,802466.0,1s2.2s2,1S,0,1s2.2s.5p,1P*,1,,T5633,L552
O,5,,12.6069,,1.37e+09,C+,81942.5,875162.0,1s2.2s.2p,3P*,0,1s2.2s.8d,3D,1,,T5633LS,
O,5,,12.6087,,1.85e+09,C+,82078.6,875183.0,1s2.2s.2p,3P*,1,1s2.2s.8d,3D,2,,T5633LS,
O,5,,12.6090,,1.02e+09,C+,82078.6,875162.0,1s2.2s.2p,3P*,1,1s2.2s.8d,3D,1,,T5633LS,
O,5,,12.6135,,2.46e+09,B,82385.3,875186.0,1s2.2s.2p,3P*,2,1s2.2s.8d,3D,3,,T5633LS,
O,5,,12.6136,,6.14e+08,C+,82385.3,875183.0,1s2.2s.2p,3P*,2,1s2.2s.8d,3D,2,,T5633LS,
O,5,,12.6139,,6.82e+07,D,82385.3,875162.0,1s2.2s.2p,3P*,2,1s2.2s.8d,3D,1,,T5633LS,
O,7,,12.8177,,5.055e+10,AA,4588380.0,5368550.0,1s.2s,1S,0,1s.3p,1P*,1,,T5997,
O,5,,12.8232,,2.03e+09,C+,81942.5,861778.0,1s2.2s.2p,3P*,0,1s2.2s.7d,3D,1,,T5633LS,
O,5,,12.8252,,2.75e+09,B,82078.6,861793.0,1s2.2s.2p,3P*,1,1s2.2s.7d,3D,2,,T5633LS,
O,5,,12.8255,,1.52e+09,C+,82078.6,861778.0,1s2.2s.2p,3P*,1,1s2.2s.7d,3D,1,,T5633LS,
O,5,,12.8302,,3.65e+09,B,82385.3,861796.0,1s2.2s.2p,3P*,2,1s2.2s.7d,3D,3,,T5633LS,
O,5,,12.8303,,9.13e+08,C+,82385.3,861793.0,1s2.2s.2p,3P*,2,1s2.2s.7d,3D,2,,T5633LS,
O,5,,12.8305,,1.01e+08,D,82385.3,861778.0,1s2.2s.2p,3P*,2,1s2.2s.7d,3D,1,,T5633LS,
O,7,,12.8411,,8.982e+10,AA,4585620.0,5364370.0,1s.2p,3P*,0,1s.3d,3D,1,,T5997LS,
O,7,,12.8411,,1.213e+11,AA,4585680.0,5364430.0,1s.2p,3P*,1,1s.3d,3D,2,,T5997LS,
O,7,,12.8421,,6.735e+10,AA,4585680.0,5364370.0,1s.2p,3P*,1,1s.3d,3D,1,,T5997LS,
O,7,,12.8500,,1.613e+11,AA,4586230.0,5364440.0,1s.2p,3P*,2,1s.3d,3D,3,,T5997LS,
O,7,,12.8502,,4.033e+10,AA,4586230.0,5364430.0,1s.2p,3P*,2,1s.3d,3D,2,,T5997LS,
O,7,,12.8512,,4.481e+09,AA,4586230.0,5364370.0,1s.2p,3P*,2,1s.3d,3D,1,,T5997LS,
O,7,,12.8685,,6.719e+06,AA,4588380.0,5365470.0,1s.2s,1S,0,1s.3d,1D,2,E2,T3908,
O,5,,12.8817,,2.12e+09,D,158797.7,935093.0,1s2.2s.2p,1P*,1,1s2.2p.(2P*<1/2>).6p,1P,1,,T5633,
O,6,,12.9785,,2.43e+10,A,96375.0,866880.1,1s2.2p,2P*,1/2,1s2.4d,2D,3/2,,T5118LS,
O,6,,12.9871,,2.91e+10,A,96907.5,866901.5,1s2.2p,2P*,3/2,1s2.4d,2D,5/2,,T5118LS,
O,6,,12.9875,,4.85e+09,A,96907.5,866880.1,1s2.2p,2P*,3/2,1s2.4d,2D,3/2,,T5118LS,
O,5,,13.1737,,3.08e+09,B,81942.5,841033.0,1s2.2s.2p,3P*,0,1s2.2s.6d,3D,1,,T5633LS,
O,5,,13.1760,,4.16e+09,B,82078.6,841033.0,1s2.2s.2p,3P*,1,1s2.2s.6d,3D,2,,T5633LS,
O,5,,13.1760,,2.31e+09,C+,82078.6,841033.0,1s2.2s.2p,3P*,1,1s2.2s.6d,3D,1,,T5633LS,
O,5,,13.1813,,1.54e+08,D,82385.3,841033.0,1s2.2s.2p,3P*,2,1s2.2s.6d,3D,1,,T5633LS,
O,5,,13.1813,,5.54e+09,B,82385.3,841036.0,1s2.2s.2p,3P*,2,1s2.2s.6d,3D,3,,T5633LS,
O,5,,13.1813,,1.38e+09,C+,82385.3,841033.0,1s2.2s.2p,3P*,2,1s2.2s.6d,3D,2,,T5633LS,
