element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
O,4,,170.369,,4.25e+06,B,573901,632597,2s.2p.(3P*).4s,2P*,3/2,2p2.(3P).3d,2P,1/2,,T5109LS,
O,2,170.7113,170.7097,8*,,,208392.258,266971.23,2s2.2p2.(3P).3p,4P*,3/2,2s2.2p2.(3P).6s,4P,5/2,,,L10549
O,5,170.7996,170.7997,160,2.02e+09,B,749840.5,808388.6,1s2.2s.4f,1F*,3,1s2.2s.5g,1G,4,,T5600,L552
O,4,,170.867,,1.05e+07,B,573901,632426,2s.2p.(3P*).4s,2P*,3/2,2p2.(3P).3d,2P,3/2,,T5109LS,
O,2,170.9790,170.9781,9,,,208484.202,266971.23,2s2.2p2.(3P).3p,4P*,5/2,2s2.2p2.(3P).6s,4P,5/2,,,L10549
O,2,171.0707,171.0691,6,,,208346.104,266802.0,2s2.2p2.(3P).3p,4P*,1/2,2s2.2p2.(3P).6s,4P,3/2,,,L10549
O,2,171.2039,171.2043,6,,,208392.258,266802.0,2s2.2p2.(3P).3p,4P*,3/2,2s2.2p2.(3P).6s,4P,3/2,,,L10549
O,2,171.3730,171.3740,5,,,208346.104,266698.0,2s2.2p2.(3P).3p,4P*,1/2,2s2.2p2.(3P).6s,4P,1/2,,,L10549
O,2,,171.4582,,,,228723.84,287047.1,2s2.2p2.(1D).3p,2F*,5/2,2s2.2p2.(1D).6s,2D,5/2,,,L11267
O,2,171.4640,171.4626,8,,,228723.84,287045.6,2s2.2p2.(1D).3p,2F*,5/2,2s2.2p2.(1D).6s,2D,3/2,,,L10549
O,2,171.4719,171.4742,8,,,208484.202,266802.0,2s2.2p2.(3P).3p,4P*,5/2,2s2.2p2.(3P).6s,4P,3/2,,,L10549
O,2,171.5094,171.5097,8,,,208392.258,266698.0,2s2.2p2.(3P).3p,4P*,3/2,2s2.2p2.(3P).6s,4P,1/2,,,L10549
O,2,171.5300,171.5276,8,,,228747.45,287047.1,2s2.2p2.(1D).3p,2F*,7/2,2s2.2p2.(1D).6s,2D,5/2,,,L10549
O,1,,172.7106,,5.32e-03,D,15867.862,73768.200,2s2.2p4,1D,2,2s2.2p3.(4S*).3s,5S*,2,,T5986,
O,4,,173.010,,6.47e+05,C+,576853,634653,2p2.(3P).3s,4P,1/2,2s.2p.(3P*).5d,4P*,1/2,,T5109LS,
O,4,,173.103,,1.62e+06,B,576853,634622,2p2.(3P).3s,4P,1/2,2s.2p.(3P*).5d,4P*,3/2,,T5109LS,
O,4,,173.1209,,7.72e+07,B,452806.6,510569.7,2s.2p.(3P*).3s,2P*,1/2,2s2.4d,2D,3/2,,T5109LS,
O,4,,173.442,,3.21e+06,B,576997,634653,2p2.(3P).3s,4P,3/2,2s.2p.(3P*).5d,4P*,1/2,,T5109LS,
O,4,,173.536,,5.13e+05,C+,576997,634622,2p2.(3P).3s,4P,3/2,2s.2p.(3P*).5d,4P*,3/2,,T5109LS,
O,4,,173.834,,1.15e+06,B,576997,634523,2p2.(3P).3s,4P,3/2,2s.2p.(3P*).5d,4P*,5/2,,T5109LS,
O,4,,173.9052,,9.14e+07,B,453071.5,510574.1,2s.2p.(3P*).3s,2P*,3/2,2s2.4d,2D,5/2,,T5109LS,
O,4,,173.9185,,1.52e+07,B,453071.5,510569.7,2s.2p.(3P*).3s,2P*,3/2,2s2.4d,2D,3/2,,T5109LS,
O,4,,174.001,,1.24e+07,B,593627,651098,2s.2p.(3P*).4d,2D*,3/2,2p2.(1D).3d,2F,5/2,,T5109LS,
O,4,,174.177,,1.71e+06,B,577209,634622,2p2.(3P).3s,4P,5/2,2s.2p.(3P*).5d,4P*,3/2,,T5109LS,
O,4,,174.189,,1.33e+07,B,593708,651117,2s.2p.(3P*).4d,2D*,5/2,2p2.(1D).3d,2F,7/2,,T5109LS,
O,4,,174.246,,8.84e+05,B,593708,651098,2s.2p.(3P*).4d,2D*,5/2,2p2.(1D).3d,2F,5/2,,T5109LS,
O,4,,174.477,,2.65e+06,B,577209,634523,2p2.(3P).3s,4P,5/2,2s.2p.(3P*).5d,4P*,5/2,,T5109LS,
O,2,174.5726,174.5721,15,4.15e+07,C,195710.47,252993.39,2s.2p4,2S,1/2,2s2.2p2.(1S).3p,2P*,3/2,,T5723LS,L10549
O,2,174.5897,174.5909,12,4.15e+07,D,195710.47,252987.23,2s.2p4,2S,1/2,2s2.2p2.(1S).3p,2P*,1/2,,T5723LS,L10549
O,2,175.1289,175.1313,7,,,229947.07,287047.1,2s2.2p2.(1D).3p,2D*,5/2,2s2.2p2.(1D).6s,2D,5/2,,,L10549
O,2,,175.1359,,,,229947.07,287045.6,2s2.2p2.(1D).3p,2D*,5/2,2s2.2p2.(1D).6s,2D,3/2,,,L11267
O,2,,175.1968,,,,229968.44,287047.1,2s2.2p2.(1D).3p,2D*,3/2,2s2.2p2.(1D).6s,2D,5/2,,,L11267
O,2,175.1994,175.2014,7,,,229968.44,287045.6,2s2.2p2.(1D).3p,2D*,3/2,2s2.2p2.(1D).6s,2D,3/2,,,L10549
O,3,176.012,,220,,,,,,,,,,,,,L3481
O,3,176.042,176.0407,110,8.38e+07,C+,300311.96,357117.01,2s2.2p.(2P*).3p,3P,1,2s2.2p.(2P*).4s,3P*,2,,T5376LS,L3481
O,3,176.322,,220,,,,,,,,,,,,,L3481
O,4,,176.333,,1.43e+08,B,575202,631913,2s.2p.(3P*).4p,2P,1/2,2p2.(1D).3p,2D*,3/2,,T5109LS,
O,3,176.448,176.4463,220,2.50e+08,C+,300442.55,357117.01,2s2.2p.(2P*).3p,3P,2,2s2.2p.(2P*).4s,3P*,2,,T5376LS,L3481
O,3,,176.6315,,1.11e+08,C+,300229.93,356844.98,2s2.2p.(2P*).3p,3P,0,2s2.2p.(2P*).4s,3P*,1,,T5376LS,
O,3,176.778,,750,,,,,,,,,,,,,L3481
O,3,176.824,,550,,,,,,,,,,,,,L3481
O,4,,176.872,,2.84e+07,B,575375,631913,2s.2p.(3P*).4p,2P,3/2,2p2.(1D).3p,2D*,3/2,,T5109LS,
O,3,,176.8878,,8.26e+07,C+,300311.96,356844.98,2s2.2p.(2P*).3p,3P,1,2s2.2p.(2P*).4s,3P*,1,,T5376LS,
O,3,177.167,,360,,,,,,,,,,,,,L3481
O,3,,177.2285,,3.29e+08,C+,300311.96,356736.30,2s2.2p.(2P*).3p,3P,1,2s2.2p.(2P*).4s,3P*,0,,T5376LS,
O,3,177.300,177.2973,110,1.37e+08,C+,300442.55,356844.98,2s2.2p.(2P*).3p,3P,2,2s2.2p.(2P*).4s,3P*,1,,T5376LS,L3481
O,3,177.385,,110,,,,,,,,,,,,,L3481
O,3,177.916,,220,,,,,,,,,,,,,L3481
O,5,,177.971,,7.08e+01,B,231721.4,287910.3,1s2.2p2,1D,2,1s2.2p2,1S,0,E2,"T4586,T3474",
O,2,178.0994,178.09836,10bl,,,188888.543,245037.29,2s2.2p2.(3P).3s,2P,1/2,2s2.2p2.(3P).4p,2S*,1/2,,,L10549
O,3,178.103,,160,,,,,,,,,,,,,L3481
O,3,178.485,,160,,,,,,,,,,,,,L3481
O,2,178.6708,178.67105,14,,,189068.514,245037.29,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).4p,2S*,1/2,,,L10549
O,3,178.966,,220,,,,,,,,,,,,,L3481
O,2,,179.2882,,,,211522.117,267298.23,2s2.2p2.(3P).3p,2D*,3/2,2s2.2p2.(3P).6s,2P,3/2,,,L11267
O,4,,179.631,,2.86e+06,B,518699,574368.7,2s.2p.(1P*).3s,2P*,1/2,2s2.6d,2D,3/2,,T5109LS,
O,4,,179.663,,5.72e+05,C+,518709,574368.7,2s.2p.(1P*).3s,2P*,3/2,2s2.6d,2D,3/2,,T5109LS,
O,4,,179.663,,3.43e+06,B,518709,574368.7,2s.2p.(1P*).3s,2P*,3/2,2s2.6d,2D,5/2,,T5109LS,
O,2,179.9025,179.9030,10,,,211712.732,267298.23,2s2.2p2.(3P).3p,2D*,5/2,2s2.2p2.(3P).6s,2P,3/2,,,L10549
O,2,179.9207,179.9241,10,,,211522.117,267101.1?,2s2.2p2.(3P).3p,2D*,3/2,2s2.2p2.(3P).6s,2P,1/2,,,L10549
O,3,,180.382,,1.83e+07,C+,370902.22,426340,2s2.2p.(2P*).4p,1D,2,2s.2p2.(2D).3p,1D*,2,,T5376,
O,2,180.5173,180.5172,8,,,206971.68,262368.05,2s2.2p2.(1D).3s,2D,5/2,2s2.2p2.(3P).5p,2P*,3/2,,,L10549
O,2,,180.5206,,,,206972.72,262368.05,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).5p,2P*,3/2,,,L11267
O,2,180.7896,180.7857,6,,,206972.72,262286.82,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).5p,2P*,1/2,,,L10549
O,5,,181.523,,1.51e+04,B,158797.7,213887.0,1s2.2s.2p,1P*,1,1s2.2p2,3P,2,,u24,
O,5,,181.523,,2.05e-03,C+,158797.7,213887.0,1s2.2s.2p,1P*,1,1s2.2p2,3P,2,M2,T4308,
O,2,182.1545,182.1551,10,1.02e+07,C,206971.68,261869.94,2s2.2p2.(1D).3s,2D,5/2,2s2.2p2.(3P).5p,2D*,5/2,,T5723LS,L10549
O,2,,182.1586,,7.27e+05,D,206972.72,261869.94,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).5p,2D*,5/2,,T5723LS,L11267
O,4,,182.409,,2.27e+04,D,596295,651117,2s.2p.(3P*).4d,2F*,5/2,2p2.(1D).3d,2F,7/2,,T5109LS,
O,5,,182.414,,3.18e+02,B,158797.7,213618.2,1s2.2s.2p,1P*,1,1s2.2p2,3P,1,,u24,
O,5,,182.414,,1.11e-03,C+,158797.7,213618.2,1s2.2s.2p,1P*,1,1s2.2p2,3P,1,M2,T4308,
O,2,182.4503,182.4506,8,,,212161.881,266971.23,2s2.2p2.(3P).3p,4S*,3/2,2s2.2p2.(3P).6s,4P,5/2,,,L10549
O,4,,182.472,,6.06e+05,B,596295,651098,2s.2p.(3P*).4d,2F*,5/2,2p2.(1D).3d,2F,5/2,,T5109LS,
O,1,,182.706,,1.52e+05,D,88630.587,143363.4,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2P*).4d,3D*,2,,T5803,
O,1,,182.706,,7.79e+04,D,88630.587,143363.4,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2P*).4d,3D*,1,,T5803,
O,1,,182.708,,1.12e+05,D,88631.303,143363.4,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(2P*).4d,3D*,1,,T5803,
O,1,,182.708,,1.96e+05,D,88631.146,143363.4,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2P*).4d,3D*,3,,T5803,
O,1,,182.708,,4.32e+04,D,88631.146,143363.4,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2P*).4d,3D*,2,,T5803,
O,2,182.7276,182.7249,8*,1.08e+06,D,206971.68,261698.75,2s2.2p2.(1D).3s,2D,5/2,2s2.2p2.(3P).5p,2D*,3/2,,T5723LS,L10549
O,2,182.7276,182.7284,8*,9.72e+06,C,206972.72,261698.75,2s2.2p2.(1D).3s,2D,3/2,2s2.2p2.(3P).5p,2D*,3/2,,T5723LS,L10549
O,5,,182.933,,4.42e+03,B,158797.7,213462.5,1s2.2s.2p,1P*,1,1s2.2p2,3P,0,,u24,
O,2,182.9362,182.93555,12,1.85e+07,D,203942.288,258606.35,2s2.2p2.(3P).3p,2S*,1/2,2s2.2p2.(3P).5s,2P,3/2,,T5723LS,L10549
O,4,,183.009,,6.08e+05,B,596475,651117,2s.2p.(3P*).4d,2F*,7/2,2p2.(1D).3d,2F,7/2,,T5109LS,
O,2,183.0128,183.0157,5bl,,,212161.881,266802.0,2s2.2p2.(3P).3p,4S*,3/2,2s2.2p2.(3P).6s,4P,3/2,,,L10549
O,4,,183.073,,3.00e+04,D,596475,651098,2s.2p.(3P*).4d,2F*,7/2,2p2.(1D).3d,2F,5/2,,T5109LS,
O,2,183.3649,183.3647,6,,,212161.881,266698.0,2s2.2p2.(3P).3p,4S*,3/2,2s2.2p2.(3P).6s,4P,1/2,,,L10549
O,2,183.5906,183.59076,9,1.83e+07,D,203942.288,258411.26,2s2.2p2.(3P).3p,2S*,1/2,2s2.2p2.(3P).5s,2P,1/2,,T5723LS,L10549
O,4,,184.243,,3.02e+07,B,575819,630095,2s.2p.(1P*).3d,2D*,3/2,2p2.(3P).3d,2F,5/2,,T5109LS,
O,4,,184.359,,2.15e+06,B,575853,630095,2s.2p.(1P*).3d,2D*,5/2,2p2.(3P).3d,2F,5/2,,T5109LS,
O,4,,184.359,,3.23e+07,B,575853,630095,2s.2p.(1P*).3d,2D*,5/2,2p2.(3P).3d,2F,7/2,,T5109LS,
O,3,184.826,,110,,,,,,,,,,,,,L3481
O,3,,184.850,,4.95e+06,C+,370902.22,425000,2s2.2p.(2P*).4p,1D,2,2s.2p2.(2D).3p,1F*,3,,T5376,
O,4,,185.433,,8.19e+06,B,492890.9,546818.7,2s.2p.(3P*).3p,2S,1/2,2s2.5p,2P*,3/2,,T5109LS,
O,4,,185.486,,8.19e+06,B,492890.9,546803.4,2s.2p.(3P*).3p,2S,1/2,2s2.5p,2P*,1/2,,T5109LS,
O,3,185.662,,110,,,,,,,,,,,,,L3481
O,3,187.278,,285,,,,,,,,,,,,,L3481
O,3,187.287,,285,,,,,,,,,,,,,L3481
O,3,187.494,,285,,,,,,,,,,,,,L3481
O,2,188.2159,188.2147,8,,,212762.25,265893.06,2s.2p4,2P,1/2,2s2.2p2.(3P).5f D,2[1]*,1/2,,,L10549
O,2,,188.2236,,,,214169.920,267298.23,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).6s,2P,3/2,,,L11267
O,2,188.2400,188.2365,9,,,212593.82,265718.48,2s.2p4,2P,3/2,2s2.2p2.(3P).5f G,2[3]*,5/2,,,L10549
O,2,188.4350,188.4355,9,,,214229.671,267298.23,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).6s,2P,3/2,,,L10549
O,2,188.5246,188.5253,8,,,212593.82,265637.10,2s.2p4,2P,3/2,2s2.2p2.(3P).5f D,2[3]*,5/2,,,L10549
O,2,188.6652,188.6649,6,,,212762.25,265766.28,2s.2p4,2P,1/2,2s2.2p2.(3P).5f D,2[2]*,3/2,,,L10549
O,2,188.9246,188.9246,5,,,214169.920,267101.1?,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).6s,2P,1/2,,,L10549
O,2,,189.1381,,,,214229.671,267101.1?,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).6s,2P,1/2,,,L11267
O,2,189.3789,189.3766,8,2.99e+06,D,195710.47,248515.30,2s.2p4,2S,1/2,2s2.2p2.(3P).4p,2P*,3/2,,T5723LS,L10549
O,2,,189.6959,,2.98e+06,D,195710.47,248426.41,2s.2p4,2S,1/2,2s2.2p2.(3P).4p,2P*,1/2,,T5723LS,L11267
O,3,,189.7102,,1.49e+08,C+,376079.92,428791.89,2s.2p2.(4P).3p,5S*,2,2s.2p2.(4P).4s,5P,3,,T5376LS,
O,3,,190.3048,,1.47e+08,C+,376079.92,428627.20,2s.2p2.(4P).3p,5S*,2,2s.2p2.(4P).4s,5P,2,,T5376LS,
O,3,,190.7634,,1.46e+08,C+,376079.92,428500.87,2s.2p2.(4P).3p,5S*,2,2s.2p2.(4P).4s,5P,1,,T5376LS,
O,3,192.004,192.0019,160,4.65e+08,B,306586.08,358668.90,2s2.2p.(2P*).3p,1D,2,2s2.2p.(2P*).4s,1P*,1,,T5376,L3481
O,3,,192.024,,2.67e+07,B,370902.22,422979,2s2.2p.(2P*).4p,1D,2,2s2.2p.(2P*).7d,1F*,3,,T5376,
O,3,192.075,,110,,,,,,,,,,,,,L3481
O,3,192.152,,110,,,,,,,,,,,,,L3481
O,4,,192.179,,2.03e+08,B,499994.9,552029.6,2s2.4p,2P*,1/2,2s2.5d,2D,3/2,,T5109LS,
O,4,,192.328,,2.43e+08,B,500037.8,552032.3,2s2.4p,2P*,3/2,2s2.5d,2D,5/2,,T5109LS,
O,4,,192.338,,4.04e+07,B,500037.8,552029.6,2s2.4p,2P*,3/2,2s2.5d,2D,3/2,,T5109LS,
O,3,192.349,,220,,,,,,,,,,,,,L3481
O,3,192.382,,110,,,,,,,,,,,,,L3481
O,3,192.694,,110,,,,,,,,,,,,,L3481
O,4,,194.251,,3.84e+06,B,467229.3,518709,2s.2p.(3P*).3p,2P,1/2,2s.2p.(1P*).3s,2P*,3/2,,T5109LS,
O,4,,194.289,,1.53e+07,B,467229.3,518699,2s.2p.(3P*).3p,2P,1/2,2s.2p.(1P*).3s,2P*,1/2,,T5109LS,
O,4,,194.689,,1.91e+07,B,467344.9,518709,2s.2p.(3P*).3p,2P,3/2,2s.2p.(1P*).3s,2P*,3/2,,T5109LS,
O,4,,194.726,,7.62e+06,B,467344.9,518699,2s.2p.(3P*).3p,2P,3/2,2s.2p.(1P*).3s,2P*,1/2,,T5109LS,
O,2,,194.7813,,1.23e+06,E,203942.288,255281.93,2s2.2p2.(3P).3p,2S*,1/2,2s2.2p2.(3P).4d,2P,1/2,,T5723LS,
O,2,,195.1932,,1.23e+06,D,203942.288,255173.58,2s2.2p2.(3P).3p,2S*,1/2,2s2.2p2.(3P).4d,2P,3/2,,T5723LS,
O,2,,195.39331,,1.19e+06,D,206786.286,257965.11,2s2.2p2.(3P).3p,4D*,3/2,2s2.2p2.(3P).5s,4P,5/2,,T5723LS,L11267
O,2,195.7441,195.74358,10,1.07e+07,C,206877.865,257965.11,2s2.2p2.(3P).3p,4D*,5/2,2s2.2p2.(3P).5s,4P,5/2,,T5723LS,L10549
O,2,195.8122,195.81286,8,2.97e+06,C,206730.762,257799.93,2s2.2p2.(3P).3p,4D*,1/2,2s2.2p2.(3P).5s,4P,3/2,,T5723LS,L10549
O,2,196.0265,196.02599,10,1.89e+07,C,206786.286,257799.93,2s2.2p2.(3P).3p,4D*,3/2,2s2.2p2.(3P).5s,4P,3/2,,T5723LS,L10549
O,2,,196.21317,,2.95e+07,C,206730.762,257695.74,2s2.2p2.(3P).3p,4D*,1/2,2s2.2p2.(3P).5s,4P,1/2,,T5723LS,L11267
O,2,196.2210,196.22222,15,4.72e+07,C,207002.482,257965.11,2s2.2p2.(3P).3p,4D*,7/2,2s2.2p2.(3P).5s,4P,5/2,,T5723LS,L10549
O,2,196.3793,196.37852,12,3.71e+07,C,206877.865,257799.93,2s2.2p2.(3P).3p,4D*,5/2,2s2.2p2.(3P).5s,4P,3/2,,T5723LS,L10549
O,2,196.4269,196.42717,10,2.94e+07,C,206786.286,257695.74,2s2.2p2.(3P).3p,4D*,3/2,2s2.2p2.(3P).5s,4P,1/2,,T5723LS,L10549
O,4,,197.851,,3.13e+06,B,547326,597869,2s.2p.(1P*).3p,2D,3/2,2s.2p.(3P*).4d,2P*,1/2,,T5109LS,
O,4,,198.436,,3.10e+05,C+,547326,597720,2s.2p.(1P*).3p,2D,3/2,2s.2p.(3P*).4d,2P*,3/2,,T5109LS,
O,4,,198.551,,2.79e+06,B,547355,597720,2s.2p.(1P*).3p,2D,5/2,2s.2p.(3P*).4d,2P*,3/2,,T5109LS,
O,4,,200.561,,8.54e+05,B,499994.9,549855,2s2.4p,2P*,1/2,2s.2p.(1P*).3p,2P,3/2,,T5109LS,
O,4,,200.734,,4.26e+06,B,500037.8,549855,2s2.4p,2P*,3/2,2s.2p.(1P*).3p,2P,3/2,,T5109LS,
O,4,,200.815,,3.40e+06,B,499994.9,549792,2s2.4p,2P*,1/2,2s.2p.(1P*).3p,2P,1/2,,T5109LS,
O,4,,200.988,,1.70e+06,B,500037.8,549792,2s2.4p,2P*,3/2,2s.2p.(1P*).3p,2P,1/2,,T5109LS,
O,3,201.392,,360,,,,,,,,,,,,,L3481
O,2,201.7240,201.72331,10,8.57e+06,C,208392.258,257965.11,2s2.2p2.(3P).3p,4P*,3/2,2s2.2p2.(3P).5s,4P,5/2,,T5723LS,L10549
O,2,202.0992,202.09815,12,1.99e+07,C,208484.202,257965.11,2s2.2p2.(3P).3p,4P*,5/2,2s2.2p2.(3P).5s,4P,5/2,,T5723LS,L10549
O,2,202.2097,202.20882,10,1.18e+07,C,208346.104,257799.93,2s2.2p2.(3P).3p,4P*,1/2,2s2.2p2.(3P).5s,4P,3/2,,T5723LS,L10549
O,2,202.3420,202.3452,10,,,228723.84,278144.33?,2s2.2p2.(1D).3p,2F*,5/2,2s2.2p2.(1D).5s,2D,3/2,,,L10549
O,2,,202.3440,,,,228723.84,278144.62,2s2.2p2.(1D).3p,2F*,5/2,2s2.2p2.(1D).5s,2D,5/2,,,L11267
O,2,202.3984,202.39772,10,3.77e+06,C,208392.258,257799.93,2s2.2p2.(3P).3p,4P*,3/2,2s2.2p2.(3P).5s,4P,3/2,,T5723LS,L10549
O,2,202.4392,202.4407,12bl,,,228747.45,278144.62,2s2.2p2.(1D).3p,2F*,7/2,2s2.2p2.(1D).5s,2D,5/2,,,L10549
O,2,202.6347,202.63574,5,4.70e+06,C,208346.104,257695.74,2s2.2p2.(3P).3p,4P*,1/2,2s2.2p2.(3P).5s,4P,1/2,,T5723LS,L10549
O,1,,202.709,,2.82e+05,C,88630.587,137962.5,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2P*).3d,3D*,2,,T5803,
O,1,,202.709,,1.05e+05,D,88630.587,137962.5,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(2P*).3d,3D*,1,,T5803,
O,1,,202.711,,1.92e+05,D,88631.303,137962.5,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(2P*).3d,3D*,1,,T5803,
O,1,,202.711,,3.70e+05,C,88631.146,137962.5,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2P*).3d,3D*,3,,T5803,
O,1,,202.711,,4.85e+04,D,88631.146,137962.5,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(2P*).3d,3D*,2,,T5803,
O,3,202.761,,160,,,,,,,,,,,,,L3481
O,2,202.7756,202.77507,10,1.27e+07,C,208484.202,257799.93,2s2.2p2.(3P).3p,4P*,5/2,2s2.2p2.(3P).5s,4P,3/2,,T5723LS,L10549
O,2,202.8256,202.82543,10,2.34e+07,C,208392.258,257695.74,2s2.2p2.(3P).3p,4P*,3/2,2s2.2p2.(3P).5s,4P,1/2,,T5723LS,L10549
O,2,,202.9381,,2.26e+06,D,212593.82,261869.94,2s.2p4,2P,3/2,2s2.2p2.(3P).5p,2D*,5/2,,T5723LS,
O,4,,203.583,,2.07e+07,B,547355,596475,2s.2p.(1P*).3p,2D,5/2,2s.2p.(3P*).4d,2F*,7/2,,T5109LS,
O,2,,203.6455,,3.73e+05,E,212593.82,261698.75,2s.2p4,2P,3/2,2s2.2p2.(3P).5p,2D*,3/2,,T5723LS,
O,3,,203.8104,,2.26e+06,D,356736.30,405801.50,2s2.2p.(2P*).4s,3P*,0,2s.2p2.(4P).3d,3D,1,,T5376LS,
O,3,,204.1425,,3.04e+06,C,356844.98,405830.38,2s2.2p.(2P*).4s,3P*,1,2s.2p2.(4P).3d,3D,2,,T5376LS,
O,4,,204.211,,1.91e+07,B,547326,596295,2s.2p.(1P*).3p,2D,3/2,2s.2p.(3P*).4d,2F*,5/2,,T5109LS,
O,3,,204.2629,,1.69e+06,D,356844.98,405801.50,2s2.2p.(2P*).4s,3P*,1,2s.2p2.(4P).3d,3D,1,,T5376LS,
O,3,,204.293,,2.18e+07,C+,365726.76,414676,2s2.2p.(2P*).4p,1P,1,2s2.2p.(2P*).6d,1D*,2,,T5376,
O,4,,204.332,,1.36e+06,B,547355,596295,2s.2p.(1P*).3p,2D,5/2,2s.2p.(3P*).4d,2F*,5/2,,T5109LS,
O,2,,204.3464,,1.85e+06,D,212762.25,261698.75,2s.2p4,2P,1/2,2s2.2p2.(3P).5p,2D*,3/2,,T5723LS,
O,3,204.633,,220,,,,,,,,,,,,,L3481
O,3,,205.0737,,4.00e+06,C,357117.01,405879.97,2s2.2p.(2P*).4s,3P*,2,2s.2p2.(4P).3d,3D,3,,T5376LS,
O,3,,205.2825,,9.97e+05,D,357117.01,405830.38,2s2.2p.(2P*).4s,3P*,2,2s.2p2.(4P).3d,3D,2,,T5376LS,
O,3,205.340,,160,,,,,,,,,,,,,L3481
O,3,,205.374,,3.97e+06,C,366488.45,415180,2s2.2p.(2P*).4p,3D,1,2s2.2p.(2P*).6d,3D*,1,,T5376LS,
O,3,,205.374,,7.93e+05,D,366488.45,415180,2s2.2p.(2P*).4p,3D,1,2s2.2p.(2P*).6d,3D*,2,,T5376LS,
O,3,,205.4042,,1.11e+05,D,357117.01,405801.50,2s2.2p.(2P*).4s,3P*,2,2s.2p2.(4P).3d,3D,1,,T5376LS,
O,3,,205.828,,3.66e+06,C,366595.76,415180,2s2.2p.(2P*).4p,3D,2,2s2.2p.(2P*).6d,3D*,2,,T5376LS,
O,3,,205.828,,1.31e+06,D,366595.76,415180,2s2.2p.(2P*).4p,3D,2,2s2.2p.(2P*).6d,3D*,1,,T5376LS,
O,3,,205.828,,5.85e+05,D,366595.76,415180,2s2.2p.(2P*).4p,3D,2,2s2.2p.(2P*).6d,3D*,3,,T5376LS,
O,3,,206.708,,4.61e+06,C,366802.62,415180,2s2.2p.(2P*).4p,3D,3,2s2.2p.(2P*).6d,3D*,3,,T5376LS,
O,3,,206.708,,8.09e+05,D,366802.62,415180,2s2.2p.(2P*).4p,3D,3,2s2.2p.(2P*).6d,3D*,2,,T5376LS,
O,2,207.29,207.2916,12bl,3.30e+06,C+,165988.46,214229.671,2s.2p4,2D,5/2,2s2.2p2.(3P).3p,2P*,3/2,,T6172n,L10549
O,2,207.3262,207.3262,5,3.61e+05,C+,165996.50,214229.671,2s.2p4,2D,3/2,2s2.2p2.(3P).3p,2P*,3/2,,T6172n,L10549
O,2,207.4766,207.4794,8,,,229947.07,278144.62,2s2.2p2.(1D).3p,2D*,5/2,2s2.2p2.(1D).5s,2D,5/2,,,L10549
O,2,,207.4807,,,,229947.07,278144.33?,2s2.2p2.(1D).3p,2D*,5/2,2s2.2p2.(1D).5s,2D,3/2,,,L11267
O,2,,207.5715,,,,229968.44,278144.62,2s2.2p2.(1D).3p,2D*,3/2,2s2.2p2.(1D).5s,2D,5/2,,,L11267
O,2,207.5720,207.5727,8,,,229968.44,278144.33?,2s2.2p2.(1D).3p,2D*,3/2,2s2.2p2.(1D).5s,2D,3/2,,,L10549
O,2,207.5831,207.5834,12,3.55e+06,C+,165996.50,214169.920,2s.2p4,2D,3/2,2s2.2p2.(3P).3p,2P*,1/2,,T6172n,L10549
O,4,,208.000,,1.71e+06,B,549792,597869,2s.2p.(1P*).3p,2P,1/2,2s.2p.(3P*).4d,2P*,1/2,,T5109LS,
O,4,,208.273,,8.52e+05,C+,549855,597869,2s.2p.(1P*).3p,2P,3/2,2s.2p.(3P*).4d,2P*,1/2,,T5109LS,
O,4,,208.646,,4.24e+05,C+,549792,597720,2s.2p.(1P*).3p,2P,1/2,2s.2p.(3P*).4d,2P*,3/2,,T5109LS,
O,4,,208.921,,2.11e+06,B,549855,597720,2s.2p.(1P*).3p,2P,3/2,2s.2p.(3P*).4d,2P*,3/2,,T5109LS,
O,2,209.3541,209.3541,10,6.69e+06,C,211522.117,259288.07,2s2.2p2.(3P).3p,2D*,3/2,2s2.2p2.(1D).4s,2D,3/2,,T5723LS,L10549
